"the",4439554
",",3267978
".",2744703
"of",2168502
"and",1616027
"a",1484742
"in",1428346
"to",1412692
"(",1210838
")",1164012
"is",1028507
"for",889328
"we",729785
"that",650390
"as",561698
"are",531926
"with",463224
"this",443401
"on",430102
"by",399727
"be",381095
":",367844
"""",358180
"from",321071
"an",281507
"which",269994
";",269255
"it",251042
"can",248270
"not",246383
"our",240969
"or",221058
"1",206544
"et",202688
"word",198333
"model",197150
"each",195856
"al.",194653
"data",184191
"words",177021
"have",170471
"used",170282
"set",169239
"all",164215
"using",161515
"system",161033
"2",154477
"=",154448
"two",153917
"one",152169
"''",150613
"these",148228
"features",144522
"more",141532
"results",137013
"language",133034
"also",130433
"at",129656
"such",129082
"between",128286
"use",126745
"was",125437
"information",123867
"has",123437
"3",118382
"only",117403
"corpus",117403
"other",115953
"sentence",115479
"table",114171
"training",112078
"if",111942
"than",111859
"different",111274
"number",107874
"but",106652
"were",104557
"%",103492
"/",101623
"their",100442
"first",98751
"example",97826
"semantic",94042
"text",93744
"where",93256
"into",92115
"they",91130
"translation",90906
"4",90064
"task",89804
"sentences",89623
"work",88927
"based",88611
"figure",88293
"both",87437
"when",87427
"will",87159
"models",86575
"its",85090
"some",84963
"section",84923
"approach",83898
"then",83807
"there",83626
"same",82790
"feature",80777
"given",80486
"performance",79204
"been",78316
"most",75656
"method",75190

"5",73665
"algorithm",71589
"english",68763
"test",68170
"however",67823
"systems",65223
"i",64354
"may",62990
"evaluation",62700
"•",62620
"over",62551
"order",60766
"lexical",60720
"learning",60100
"e.g.",59654
"paper",59544
"[",58585
"context",57256
"while",56854
"rules",56412
"analysis",56071
"+",55900
"syntactic",55724
"would",55403
"no",55147
"any",55114
"new",54669
"case",54207
"]",53861
"target",53684
"do",53311
"three",53182
"following",51926
"time",51853
"structure",51728
"experiments",51570
"tree",51460
"since",51336
"possible",51045
"relations",50919
"so",50282
"e",50084
"about",50006
"problem",49250
"accuracy",48902
"because",48778
"type",48716
"how",48670
"pairs",48510
"terms",48418
"methods",48352
"phrase",48158
"verb",47531
"many",47386
"well",47275
"parsing",46938
"similar",46672
"shows",46233
"score",46159
"relation",46144
"types",45998
"source",45717
"shown",45707
"similarity",45694
"input",45440
"6",45355
"annotation",45326
"best",45126
"n",44882
"them",44562
"domain",44356
"s",43981
"0",43772
"x",43666
"languages",43545
"dependency",43314
"grammar",43279
"c",43173
"<",43173
"very",43116
"see",42811
"second",42768
"form",42656
"thus",42546
"knowledge",42438
">",42158
"b",41648
"p",40973
"process",40864
"probability",40745
"does",40701
"classification",40468
"i.e.",40398
"better",40201
"document",40104
"function",39893
"user",39869
"sense",38629
"those",38558
"baseline",38305
"t",38237
"show",38076
"parser",37881
"should",37876
"could",37807
"scores",37746
"level",37510
"large",37478
"like",37184
"described",37094
"out",36801
"sets",36545
"previous",36095
"output",36093
"related",36073
"noun",35981
"proposed",35957
"standard",35779
"found",35694
"documents",35601
"research",35464
"present",35294
"rule",35272
"representation",35176
"linguistic",35015
"machine",34580
"class",34509
"speech",34489
"examples",34470
"corpora",34272
"several",33855
"value",33694
"precision",33621
"part",33567
"extraction",33529
"human",33367
"alignment",33305
"result",32920
"here",32903
"topic",32900
"values",32865
"single",32737
"phrases",32557
"way",32488
"entity",32412
"after",32361
"pos",32182
"search",32130
"question",32033
"correct",31976
"list",31607
"cases",31594
"general",31592
"discourse",31348
"available",31116
"even",31106
"error",31089
"above",30855
"approaches",30812
"simple",30733
"further",30573
"therefore",30313
"7",30281
"particular",30129
"2010",30007
"average",29914
"pair",29907
"verbs",29757
"recall",29701
"important",29532
"what",29459
"annotated",29405
"distribution",29404
"node",29381
"whether",29330
"tasks",29311
"dialogue",29256
"obtained",29256
"defined",29212
"classifier",29197
"2008",29131
"errors",29094
"event",29051
"2007",28965
"without",28877
"specific",28849
"vector",28842
"extracted",28831
"trained",28731
"texts",28702
"high",28661
"another",28537
"chinese",28534
"step",28430
"sequence",28299
"size",28144
"within",28078
"corresponding",27967
"natural",27945
"2009",27698
"patterns",27564
"make",27491
"2006",27463
"much",27398
"contains",27330
"instance",27191
"2005",27187
"state",27092
"term",26948
"lexicon",26911
"find",26880
"abstract",26848
"processing",26723
"uses",26699
"development",26698
"parse",26675
"up",26506
"current",26423
"applied",26417
"length",26396
"quality",26270
"...",26259
"space",26214
"10",26146
"trees",26118
"generated",26059
"common",26053
"measure",26002
"often",25955
"being",25932
"categories",25887
"according",25845
"classes",25814
"candidate",25778
"automatic",25768
"consider",25753
"entities",25743
"small",25713
"nodes",25682
"tags",25577
"through",25533
"statistical",25481
"2011",25478
"need",25445
"2003",25317
"presented",25124
"d",24995
"automatically",24937
"r",24905
"graph",24896
"2004",24837
"constraints",24829
"us",24816
"provide",24581
"content",24498
"due",24372
"w",24330
"meaning",24284
"?",24217
"frequency",24054
"k",24007
"less",23979
"instances",23974
"y",23915
"f",23883
"tag",23869
"dataset",23804
"note",23796
"labels",23753
"original",23651
"*",23630
"experiment",23586
"study",23516
"future",23510
"query",23488
"parameters",23476
"label",23437
"although",23406
"fact",23357
"category",23346
"positive",23305
"including",23249
"compared",23235
"higher",23223
"main",23212
"follows",23192
"structures",23173
"either",23107
"generation",22974
"multiple",22925
"-",22860
"include",22746
"significant",22688
"argument",22604
"various",22592
"v",22583
"framework",22485
"selected",22391
"good",22286
"negative",22265
"additional",22261
"must",22217
"2012",22206
"2002",22196
"rather",22069
"finally",22017
"among",21993
"head",21888
"))",21870
"next",21843
"considered",21824
"addition",21795
"selection",21774
"improve",21743
"sentiment",21712
"wordnet",21546
"reference",21525
"resources",21520
"questions",21497
"recognition",21376
"combination",21359
"nouns",21331
"describe",21306
"under",21275
"means",21220
"m",21211
"respectively",21119
"web",20957
"segmentation",20937
"role",20921
"every",20868
"translations",20854
"useful",20810
"dictionary",20808
"expressions",20786
"8",20750
"associated",20728
"during",20705
"four",20695
"2013",20634
"techniques",20576
"parallel",20554
"labeled",20442
"algorithms",20371
"answer",20301
"relevant",20179
"comparison",20173
"might",20054
"made",20025
"measures",19986
"events",19891
"introduction",19884
"tokens",19884
"overall",19816
"name",19732
"instead",19553
"computational",19512
"total",19506
"provided",19502
"top",19287
"point",19210
"distance",19188
"before",19128
"forms",19123
"take",19094
"identify",19048
"np",18888
"final",18872
"focus",18864
"performed",18862
"senses",18661
"across",18577
"contain",18546
"morphological",18542
"evaluate",18519
"object",18489
"complex",18422
"users",18324
"able",18310
"agreement",18276
"still",18260
"represent",18230
"difference",18221
"probabilities",18200
"string",18181
"full",18177
"&",18135
"likely",18035
"tagging",18030
"arguments",18008
"concepts",17953
"had",17940
"right",17930
"vectors",17925
"|",17875
"representations",17862
"improvement",17859
"least",17828
"perform",17777
"relative",17770
"left",17716
"annotations",17707
"generate",17623
"2000",17615
"allows",17543
"clustering",17535
"individual",17513
"problems",17469
"position",17467
"names",17446
"consists",17271
"concept",17248
"provides",17191
"subject",17144
"manually",17080
"j",17076
"pattern",17069
"initial",17024
"below",16930
"maximum",16913
"directly",16845
"effect",16815
"did",16782
"application",16775
"basic",16748
"per",16741
"−",16738
"times",16719
"significantly",16716
"developed",16637
"goal",16619
"topics",16597
"nlp",16555
"hand",16522
"random",16462
"define",16427
"extract",16401
"detection",16378
"l",16349
"gold",16263
"weight",16259
"represented",16240
"end",16200
"mt",16186
"local",16168
"assigned",16118
"treebank",16065
"compare",15999
"let",15919
"lower",15874
"shared",15859
"semantics",15840
"definition",15839
"weights",15829
"version",15747
"experimental",15740
"hypothesis",15705
"just",15674
"existing",15661
"rate",15656
"applications",15649
"component",15625
"now",15601
"last",15598
"observed",15589
"etc.",15589
"properties",15543
"description",15543
"2001",15532
"resulting",15505
"support",15495
"low",15450
"certain",15443
"disambiguation",15439
"named",15377
"obtain",15375
"network",15313
"computed",15255
"differences",15245
"propose",15191
"g",15160
"elements",15136
"train",15134
"bleu",15134
"news",15115
"inference",15027
"metrics",15024
"linear",14981
"token",14975
"base",14964
"parameter",14948
"9",14945
"who",14945
"account",14942
"produce",14938
"difficult",14924
"candidates",14867
"1998",14863
"evaluated",14859
"matching",14817
"character",14789
"group",14782
"components",14762
"utterance",14727
"clusters",14726
"cluster",14723
"articles",14637
"reported",14627
"containing",14600
"larger",14573
"procedure",14557
"h",14476
"apply",14474
"bilingual",14403
"identification",14402
"produced",14388
"german",14326
"annotators",14324
"matrix",14291
"supervised",14289
"grammatical",14276
"domains",14271
"sample",14223
"grammars",14219
"ranking",14200
"called",14157
"functions",14143
"items",14106
"match",14079
"help",14062
"makes",14044
"predicate",14036
"appear",14013
"decision",13971
"expression",13969
"appropriate",13919
"determine",13905
"prediction",13901
"together",13891
"combined",13825
"classifiers",13795
"identified",13770
"project",13761
"u",13758
"unsupervised",13734
"collection",13714
"give",13701
"temporal",13692
"learn",13672
"points",13667
"derived",13635
"created",13591
"binary",13590
"expected",13556
"few",13553
"achieved",13542
"retrieval",13539
"utterances",13535
"summary",13480
"seen",13480
"occur",13449
"required",13423
"usually",13413
"mapping",13392
